,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
101000,BR1_3010231647,1716350,840000,16,False,1,0,0,0,0,1,0,0,3,0,0,1,0,27697,334,68,46,True,11,True,0,0,0,0,0,0,0,0,0,0,0,0,0,24750,342,72,43,False
101001,BR1_3010159607,2166084,840000,13,True,0,0,0,0,0,0,0,0,5,0,0,1,0,28686,345,102,45,True,7,False,1,0,1,0,0,0,0,0,1,0,0,0,0,23014,331,73,43,False
101002,BR1_3010107919,2006710,840000,13,True,0,0,0,0,0,0,0,0,1,0,0,0,0,27024,358,77,46,True,8,False,2,0,1,0,1,0,0,0,2,0,0,0,0,24489,344,104,44,False
101003,BR1_3010077923,1808173,840000,14,True,0,0,0,0,0,0,0,0,4,0,0,0,0,25624,305,68,43,False,21,False,1,0,0,1,0,0,0,0,2,0,0,0,0,28700,320,96,47,True
101004,BR1_3009869844,2069506,840000,15,False,2,1,0,0,0,1,0,0,3,0,0,1,0,27455,351,86,46,False,11,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25782,324,86,44,True
101005,BR1_3009853281,1739361,840000,7,False,0,0,0,0,0,0,0,0,6,0,0,0,0,23995,346,75,43,True,15,True,1,0,0,1,0,0,0,0,0,0,0,0,0,27330,383,89,47,False
101006,BR1_3009794753,1758568,840000,5,False,0,0,0,0,0,0,0,0,6,0,0,2,0,24973,336,92,44,False,10,True,2,1,0,0,1,0,0,0,0,0,0,0,0,26713,387,120,48,True
101007,BR1_3009736077,2210645,840000,6,True,1,1,0,0,0,0,0,0,1,0,0,0,0,22712,338,74,44,True,7,False,0,0,0,0,0,0,0,0,5,0,0,0,0,24377,357,115,46,False
101008,BR1_3009709609,1832577,840000,10,False,1,0,0,1,0,0,0,0,6,0,0,0,0,25470,341,95,45,False,10,True,1,0,0,0,0,1,0,0,0,0,0,0,0,25402,388,92,45,True
101009,BR1_3009674305,2095070,840000,9,False,0,0,0,0,0,0,0,0,2,0,0,0,0,23587,312,81,42,True,13,True,1,0,0,1,0,0,0,0,0,0,0,0,0,26288,346,70,44,False
101010,BR1_3009630067,2904817,840000,15,True,0,0,0,0,0,0,0,0,0,0,0,0,0,26144,313,84,43,False,16,False,0,0,0,0,0,0,0,0,6,0,0,1,0,29399,350,78,46,True
101011,BR1_3009608065,2145355,840000,13,True,0,0,0,0,0,0,0,0,5,0,0,0,0,26850,336,108,46,True,9,False,1,0,1,0,0,0,0,0,1,0,0,0,0,23930,314,70,43,False
101012,BR1_3009395009,2282067,840000,13,False,1,0,0,0,1,0,0,0,5,0,0,1,0,27333,304,74,43,True,20,True,0,0,0,0,0,0,0,0,1,0,0,0,0,31476,328,92,48,False
101013,BR1_3009373216,1916860,840000,20,True,0,0,0,0,0,0,0,0,1,0,0,1,0,29313,296,77,44,True,13,False,0,0,0,0,0,0,0,0,5,0,0,0,0,24991,299,78,41,False
101014,BR1_3009290772,1971543,840000,12,False,0,0,0,0,0,0,0,0,5,0,0,1,0,25478,273,93,43,False,10,True,1,0,0,0,0,0,1,0,1,0,0,0,0,25131,344,81,45,True
101015,BR1_3008881477,2123573,840000,5,False,0,0,0,0,0,0,0,0,6,0,0,1,0,24685,359,98,44,False,10,True,1,0,0,0,1,0,0,0,0,0,0,0,0,25047,331,101,46,True
101016,BR1_3008785344,2339194,840000,13,False,1,0,0,0,1,0,0,0,1,0,0,0,0,25578,304,65,42,True,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,25187,359,88,43,False
101017,BR1_3008760979,1731876,840000,6,True,0,0,0,0,0,0,0,0,4,0,0,0,0,22582,305,83,40,False,13,False,0,0,0,0,0,0,0,0,2,0,0,0,0,25595,307,92,42,True
101018,BR1_3008744430,1732812,840000,16,False,1,1,0,0,0,0,0,0,2,0,0,1,0,28929,307,80,44,True,17,True,0,0,0,0,0,0,0,0,4,0,0,0,0,26466,301,72,43,False
101019,BR1_3008733013,2009970,840000,9,False,1,0,0,1,0,0,0,0,4,0,0,1,0,25125,338,97,45,True,14,True,1,0,0,0,1,0,0,0,2,0,0,0,0,25756,319,80,45,False
101020,BR1_3008393466,2008201,840000,17,False,0,0,0,0,0,0,0,0,5,0,0,2,0,30038,302,93,45,True,18,True,1,0,0,0,0,0,1,0,1,0,0,1,0,27927,318,58,44,False
101021,BR1_3008370917,2181375,840000,14,False,0,0,0,0,0,0,0,0,2,0,0,0,0,26731,314,92,44,False,10,True,1,0,0,0,1,0,0,0,4,0,0,0,0,24742,316,72,43,True
101022,BR1_3008250058,1864074,840000,11,True,0,0,0,0,0,0,0,0,6,0,0,1,0,26992,351,112,45,True,5,False,1,0,0,0,0,1,0,0,0,0,0,1,0,23905,349,84,43,False
101023,BR1_3008223015,2068088,840000,13,True,1,0,0,1,0,0,0,0,4,0,0,1,0,25903,275,66,41,False,18,False,0,0,0,0,0,0,0,0,2,0,0,0,0,27298,321,79,45,True
101024,BR1_3008163671,2386709,840000,16,True,1,0,0,1,0,0,0,0,4,0,0,0,0,26943,311,76,42,False,10,False,0,0,0,0,0,0,0,0,2,0,0,0,0,24788,278,75,40,True
101025,BR1_3008033639,1972643,840000,15,True,0,0,0,0,0,0,0,0,5,0,0,1,0,27591,325,56,43,True,14,False,1,0,0,1,0,0,0,0,1,0,0,0,0,26026,325,91,43,False
101026,BR1_3007996597,1630900,840000,11,False,1,0,1,0,0,0,0,0,3,0,0,0,0,25570,329,85,44,True,17,True,0,0,0,0,0,0,0,0,3,0,0,0,0,27047,319,74,43,False
101027,BR1_3007984681,1823536,840000,11,True,0,0,0,0,0,0,0,0,3,0,0,1,0,26943,365,82,45,True,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,23753,326,85,43,False
101028,BR1_3007973946,1912219,840000,16,True,0,0,0,0,0,0,0,0,2,0,0,0,0,27637,347,96,43,False,14,False,1,0,0,0,0,1,0,0,4,0,0,1,0,28388,340,100,46,True
101029,BR1_3007967172,1754239,840000,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,23392,336,74,43,False,9,False,2,1,0,1,0,0,0,0,0,0,0,0,0,23605,338,96,44,True
101030,BR1_3007863847,2247648,840000,13,False,1,0,0,0,1,0,0,0,4,0,0,0,0,23568,287,76,43,False,11,True,0,0,0,0,0,0,0,0,2,0,0,1,0,23980,301,47,40,True
101031,BR1_3007841968,1740240,840000,12,True,1,0,0,1,0,0,0,0,1,0,0,0,0,25216,334,86,46,True,8,False,0,0,0,0,0,0,0,0,2,0,0,1,0,26761,350,88,45,False
101032,BR1_3007770602,2015514,840000,8,False,1,0,0,0,0,1,0,0,1,0,0,1,0,25027,320,88,45,False,10,True,0,0,0,0,0,0,0,0,5,0,0,1,0,26283,361,78,45,True
101033,BR1_3007737793,1924644,840000,9,False,0,0,0,0,0,0,0,0,4,0,0,0,0,22323,249,95,41,False,15,True,1,0,1,0,0,0,0,0,2,0,0,1,0,27332,375,72,44,True
101034,BR1_3007699434,1925664,840000,13,True,1,0,0,0,0,1,0,0,4,0,0,0,0,25655,303,116,45,True,10,False,0,0,0,0,0,0,0,0,2,0,0,1,0,25562,338,58,44,False
101035,BR1_3007687041,1702949,840000,16,False,1,0,0,0,0,0,1,0,6,0,0,2,0,27954,270,93,44,False,10,True,0,0,0,0,0,0,0,0,0,0,0,2,0,27139,322,80,44,True
101036,BR1_3007671065,1972098,840000,7,False,0,0,0,0,0,0,0,0,5,0,0,0,0,23923,321,86,45,False,12,True,2,0,0,0,0,1,1,0,1,0,0,1,0,25697,327,89,44,True
101037,BR1_3006762341,2052719,840000,10,False,0,0,0,0,0,0,0,0,1,0,0,1,0,25027,346,74,44,False,7,True,1,0,0,1,0,0,0,0,5,0,0,1,0,25577,341,94,45,True
101038,BR1_3006737744,1964713,840000,11,True,0,0,0,0,0,0,0,0,3,0,0,1,0,26812,327,86,45,True,12,False,1,0,0,0,1,0,0,0,3,0,0,1,0,26016,284,86,45,False
101039,BR1_3006563547,1794091,840000,14,True,1,0,0,0,1,0,0,0,6,0,0,2,0,27700,302,84,44,False,11,False,1,0,0,1,0,0,0,0,0,0,0,0,0,25133,366,84,46,True
101040,BR1_3006529082,2220759,840000,12,False,1,0,0,0,0,0,1,0,3,0,0,1,0,26612,335,78,43,True,13,True,0,0,0,0,0,0,0,0,3,0,0,1,0,26388,351,58,43,False
101041,BR1_3006273593,1850844,840000,14,False,1,0,0,1,0,0,0,0,4,0,0,0,0,25404,265,76,43,False,18,True,0,0,0,0,0,0,0,0,1,0,0,0,0,27000,279,62,42,True
101042,BR1_3006034218,2199436,840000,12,False,0,0,0,0,0,0,0,0,5,0,0,0,0,25634,327,78,42,True,16,True,1,0,0,0,0,1,0,0,1,0,0,0,0,28211,375,90,47,False
101043,BR1_3005909818,1685734,840000,14,False,0,0,0,0,0,0,0,0,6,0,0,0,0,27123,329,105,46,True,13,True,2,0,0,0,0,1,1,0,0,0,0,0,0,26249,347,98,46,False
101044,BR1_3005873086,1715934,840000,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,24976,325,80,42,True,7,False,1,0,0,1,0,0,0,0,6,0,0,0,0,23939,337,95,43,False
101045,BR1_3005863204,1958861,840000,9,True,0,0,0,0,0,0,0,0,6,0,0,0,0,25488,315,103,44,True,10,False,1,0,0,1,0,0,0,0,0,0,0,0,0,24876,365,63,45,False
101046,BR1_3005788919,2036934,840000,12,False,0,0,0,0,0,0,0,0,5,0,0,1,0,26716,357,86,47,False,6,True,1,0,0,0,0,1,0,0,1,0,0,0,0,22593,316,70,42,True
101047,BR1_3005779926,2107299,840000,12,False,0,0,0,0,0,0,0,0,1,0,0,0,0,25282,346,57,45,False,13,True,0,0,0,0,0,0,0,0,3,0,0,1,0,26365,352,62,44,True
101048,BR1_3005718308,1636905,840000,11,False,2,0,0,1,0,0,1,0,0,0,0,0,0,26401,343,76,42,True,18,True,0,0,0,0,0,0,0,0,6,0,0,1,0,27640,288,76,44,False
101049,BR1_3010055637,1743788,840000,16,True,0,0,0,0,0,0,0,0,6,0,0,0,0,26981,327,96,45,True,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,22546,301,32,42,False
101050,BR1_3010026448,1923161,840000,7,False,1,0,0,1,0,0,0,0,0,0,0,0,0,24209,345,84,43,False,12,True,1,0,0,0,1,0,0,0,6,0,0,0,0,26219,357,84,43,True
101051,BR1_3010023214,1733537,840000,10,True,1,0,0,0,0,0,1,0,0,0,0,0,0,24097,288,76,42,True,14,False,0,0,0,0,0,0,0,0,6,0,0,1,0,28400,356,88,45,False
101052,BR1_3010015477,2004968,840000,11,False,0,0,0,0,0,0,0,0,2,0,0,0,0,24423,306,83,43,True,12,True,1,0,0,1,0,0,0,0,4,0,0,0,0,23867,307,51,42,False
101053,BR1_3010013692,1630707,840000,9,True,1,0,0,0,1,0,0,0,0,0,0,0,0,23518,317,62,42,False,9,False,1,1,0,0,0,0,0,0,6,0,0,1,0,25560,340,96,42,True
101054,BR1_3010007250,1894719,840000,12,False,1,0,0,0,1,0,0,0,6,0,0,0,0,26320,373,108,46,True,4,True,1,0,0,1,0,0,0,0,0,0,0,0,0,21519,336,84,42,False
101055,BR1_3009998838,1799765,840000,10,True,1,0,0,0,0,0,1,0,3,0,0,0,0,25416,365,87,47,True,4,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22612,362,100,45,False
