,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
101000,BR1_3010231647,1716350,1200000,26,False,2,0,1,0,0,1,0,0,3,1,0,3,0,42045,507,108,59,True,15,True,0,0,0,0,0,0,0,0,0,0,0,3,0,37977,532,108,55,False
101001,BR1_3010159607,2166084,1200000,20,True,1,1,0,0,0,0,0,0,5,0,0,3,0,41050,476,146,56,True,15,False,2,0,1,0,1,0,0,0,1,1,0,2,0,37416,468,103,56,False
101002,BR1_3010107919,2006710,1200000,19,True,1,0,0,1,0,0,0,0,1,1,0,3,0,40910,530,117,59,True,15,False,2,0,1,0,1,0,0,0,2,0,0,3,0,38732,526,146,57,False
101003,BR1_3010077923,1808173,1200000,22,True,0,0,0,0,0,0,0,0,4,0,0,3,0,40181,453,92,56,False,32,False,2,0,1,1,0,0,0,0,2,1,0,3,0,42906,456,131,60,True
101004,BR1_3009869844,2069506,1200000,25,False,2,1,0,0,0,1,0,0,3,1,0,4,0,41927,500,118,58,False,19,True,1,0,0,1,0,0,0,0,3,0,0,0,0,39033,474,122,58,True
101005,BR1_3009853281,1739361,1200000,12,False,1,0,0,0,0,1,0,0,6,1,0,6,0,39284,498,119,55,True,18,True,1,0,0,1,0,0,0,0,0,0,0,1,0,37875,520,125,56,False
101006,BR1_3009794753,1758568,1200000,10,False,0,0,0,0,0,0,0,0,6,0,0,2,0,36230,488,127,57,False,23,True,3,1,0,0,1,1,0,0,0,1,0,4,0,43579,552,160,61,True
101007,BR1_3009736077,2210645,1200000,13,True,1,1,0,0,0,0,0,0,1,0,0,3,0,36422,511,98,57,True,14,False,1,0,0,0,1,0,0,0,5,1,0,2,0,36695,483,158,57,False
101008,BR1_3009709609,1832577,1200000,13,False,2,0,1,1,0,0,0,0,6,0,0,2,0,36622,513,139,57,False,13,True,1,0,0,0,0,1,0,0,0,1,0,2,0,37493,560,148,58,True
101009,BR1_3009674305,2095070,1200000,15,False,0,0,0,0,0,0,0,0,2,1,0,1,0,36015,452,117,55,True,22,True,2,0,0,1,0,0,1,0,0,0,0,5,0,40977,499,104,58,False
101010,BR1_3009630067,2904817,1200000,23,True,0,0,0,0,0,0,0,0,0,0,0,3,0,39377,485,122,56,False,20,False,1,1,0,0,0,0,0,0,6,1,0,5,0,42032,485,134,56,True
101011,BR1_3009608065,2145355,1200000,20,True,1,0,0,0,0,0,1,0,5,1,0,3,0,39935,463,155,58,True,17,False,1,0,1,0,0,0,0,0,1,0,0,2,0,37221,450,96,57,False
101012,BR1_3009395009,2282067,1200000,19,False,2,0,0,0,1,1,0,0,5,0,0,2,0,39192,458,106,56,True,26,True,0,0,0,0,0,0,0,0,1,1,0,3,0,44610,477,133,58,False
101013,BR1_3009373216,1916860,1200000,31,True,1,0,1,0,0,0,0,0,1,0,0,4,0,43964,438,119,57,True,20,False,0,0,0,0,0,0,0,0,5,1,0,2,0,39507,428,112,54,False
101014,BR1_3009290772,1971543,1200000,18,False,0,0,0,0,0,0,0,0,5,1,0,4,0,38490,430,129,55,False,13,True,2,0,1,0,0,0,1,0,1,0,0,3,0,36849,518,121,57,True
101015,BR1_3008881477,2123573,1200000,13,False,1,1,0,0,0,0,0,0,6,0,0,4,0,38768,543,124,58,False,20,True,1,0,0,0,1,0,0,0,0,1,0,5,0,41039,493,155,59,True
101016,BR1_3008785344,2339194,1200000,16,False,2,1,0,0,1,0,0,0,1,1,0,1,0,36812,471,101,56,True,18,True,0,0,0,0,0,0,0,0,2,0,0,3,0,39719,524,130,57,False
101017,BR1_3008760979,1731876,1200000,11,True,0,0,0,0,0,0,0,0,4,0,0,3,0,36881,463,118,53,False,21,False,1,0,0,0,1,0,0,0,2,1,0,2,0,38740,460,142,54,True
101018,BR1_3008744430,1732812,1200000,28,False,1,1,0,0,0,0,0,0,2,1,0,5,0,45355,431,120,58,True,23,True,1,0,0,1,0,0,0,0,4,0,0,2,0,39226,445,92,54,False
101019,BR1_3008733013,2009970,1200000,18,False,1,0,0,1,0,0,0,0,4,0,0,2,0,38607,481,117,57,True,21,True,2,0,1,0,1,0,0,0,2,1,0,3,0,37243,440,114,57,False
101020,BR1_3008393466,2008201,1200000,23,False,0,0,0,0,0,0,0,0,5,0,0,4,0,42025,420,133,56,True,28,True,2,0,0,1,0,0,1,0,1,1,0,3,0,41509,439,94,56,False
101021,BR1_3008370917,2181375,1200000,23,False,1,0,0,0,0,1,0,0,2,1,0,3,0,40689,451,136,56,False,15,True,1,0,0,0,1,0,0,0,4,0,0,2,0,36508,449,94,53,True
101022,BR1_3008250058,1864074,1200000,16,True,1,1,0,0,0,0,0,0,6,1,0,5,0,39781,481,152,56,True,12,False,1,0,0,0,0,1,0,0,0,0,0,2,0,35943,486,123,55,False
101023,BR1_3008223015,2068088,1200000,19,True,2,0,1,1,0,0,0,0,4,0,0,3,0,39343,468,114,56,False,22,False,0,0,0,0,0,0,0,0,2,1,0,2,0,39091,472,115,56,True
101024,BR1_3008163671,2386709,1200000,22,True,2,1,0,1,0,0,0,0,4,1,0,4,0,39476,474,109,56,False,17,False,0,0,0,0,0,0,0,0,2,0,0,1,0,37463,449,122,55,True
101025,BR1_3008033639,1972643,1200000,21,True,1,0,1,0,0,0,0,0,5,0,0,3,0,38740,454,75,53,True,26,False,1,0,0,1,0,0,0,0,1,0,0,0,0,40247,473,123,59,False
101026,BR1_3007996597,1630900,1200000,20,False,1,0,1,0,0,0,0,0,3,1,0,0,0,37852,473,126,58,True,22,True,2,1,0,0,0,1,0,0,3,0,0,4,0,39717,447,104,53,False
101027,BR1_3007984681,1823536,1200000,21,True,0,0,0,0,0,0,0,0,3,0,0,4,0,42205,543,109,57,True,10,False,0,0,0,0,0,0,0,0,3,0,0,0,0,32731,478,113,54,False
101028,BR1_3007973946,1912219,1200000,20,True,1,0,1,0,0,0,0,0,2,0,0,2,0,38689,507,136,56,False,24,False,1,0,0,0,0,1,0,0,4,1,0,5,0,43719,496,144,59,True
101029,BR1_3007967172,1754239,1200000,13,True,0,0,0,0,0,0,0,0,3,0,0,1,0,34901,503,90,55,False,17,False,3,1,0,1,1,0,0,0,0,1,0,3,0,38364,487,159,58,True
101030,BR1_3007863847,2247648,1200000,17,False,1,0,0,0,1,0,0,0,4,0,0,1,0,33824,426,104,52,False,20,True,1,0,1,0,0,0,0,0,2,1,0,3,0,36911,427,95,55,True
101031,BR1_3007841968,1740240,1200000,22,True,2,0,0,1,1,0,0,0,1,0,0,2,0,38822,473,125,57,True,14,False,0,0,0,0,0,0,0,0,2,1,0,4,0,38898,470,105,56,False
101032,BR1_3007770602,2015514,1200000,12,False,1,0,0,0,0,1,0,0,1,1,0,2,0,37178,509,139,57,False,13,True,1,0,0,0,0,0,1,0,5,0,0,3,0,37563,539,114,56,True
101033,BR1_3007737793,1924644,1200000,15,False,1,0,0,1,0,0,0,0,4,0,0,0,0,33890,397,129,54,False,27,True,1,0,1,0,0,0,0,0,2,1,0,5,0,43122,528,117,60,True
101034,BR1_3007699434,1925664,1200000,25,True,2,0,0,0,1,1,0,0,4,1,0,3,0,41604,467,179,61,True,13,False,0,0,0,0,0,0,0,0,2,0,0,2,0,35308,482,74,55,False
101035,BR1_3007687041,1702949,1200000,19,False,1,0,0,0,0,0,1,0,6,1,0,4,0,38052,413,121,53,False,20,True,1,0,1,0,0,0,0,0,0,0,0,3,0,39855,446,124,56,True
101036,BR1_3007671065,1972098,1200000,11,False,0,0,0,0,0,0,0,0,5,1,0,1,0,34552,451,109,56,False,23,True,3,0,0,1,0,1,1,0,1,0,0,3,0,40064,485,129,58,True
101037,BR1_3006762341,2052719,1200000,19,False,1,1,0,0,0,0,0,0,1,1,0,3,0,39231,517,118,59,False,12,True,2,0,0,1,1,0,0,0,5,0,0,5,0,40499,509,133,57,True
101038,BR1_3006737744,1964713,1200000,20,True,1,0,0,0,0,0,1,0,3,1,0,5,0,40782,459,110,57,True,18,False,1,0,0,0,1,0,0,0,3,0,0,3,0,38602,428,129,56,False
101039,BR1_3006563547,1794091,1200000,20,True,1,0,0,0,1,0,0,0,6,1,0,3,0,38742,428,120,55,False,24,False,2,1,0,1,0,0,0,0,0,0,0,1,0,39307,519,112,59,True
101040,BR1_3006529082,2220759,1200000,20,False,1,0,0,0,0,0,1,0,3,1,0,4,0,41229,502,102,57,True,20,True,1,1,0,0,0,0,0,0,3,0,0,3,0,39780,527,98,58,False
101041,BR1_3006273593,1850844,1200000,21,False,2,0,0,1,0,1,0,0,4,0,0,3,0,39110,414,120,57,False,27,True,0,0,0,0,0,0,0,0,1,1,0,2,0,40402,435,93,55,True
101042,BR1_3006034218,2199436,1200000,19,False,0,0,0,0,0,0,0,0,5,1,0,2,0,38023,467,115,56,True,27,True,2,0,0,1,0,1,0,0,1,0,0,3,0,42747,534,132,61,False
101043,BR1_3005909818,1685734,1200000,23,False,0,0,0,0,0,0,0,0,6,1,0,1,0,40965,480,141,60,True,24,True,3,0,0,0,1,1,1,0,0,0,0,3,0,40892,493,146,60,False
101044,BR1_3005873086,1715934,1200000,14,True,1,0,0,0,0,1,0,0,0,0,0,2,0,37948,502,124,55,True,10,False,1,0,0,1,0,0,0,0,6,1,0,4,0,37129,518,142,56,False
101045,BR1_3005863204,1958861,1200000,16,True,0,0,0,0,0,0,0,0,6,1,0,3,0,39284,466,143,56,True,21,False,2,1,0,1,0,0,0,0,0,0,0,2,0,39573,522,83,58,False
101046,BR1_3005788919,2036934,1200000,18,False,1,0,0,0,0,0,1,0,5,1,0,4,0,39871,503,136,57,False,13,True,1,0,0,0,0,1,0,0,1,0,0,1,0,36039,484,97,57,True
101047,BR1_3005779926,2107299,1200000,18,False,0,0,0,0,0,0,0,0,1,0,0,3,0,38601,507,100,57,False,23,True,1,0,0,0,0,1,0,0,3,0,0,3,0,40874,497,94,56,True
101048,BR1_3005718308,1636905,1200000,21,False,3,0,0,1,0,1,1,0,0,0,0,4,0,42694,515,122,58,True,24,True,0,0,0,0,0,0,0,0,6,1,0,2,0,38663,403,105,53,False
101049,BR1_3010055637,1743788,1200000,24,True,2,0,0,0,0,1,1,0,6,1,0,3,0,40162,471,132,57,True,15,False,0,0,0,0,0,0,0,0,0,0,0,1,0,35077,454,60,54,False
101050,BR1_3010026448,1923161,1200000,12,False,1,0,0,1,0,0,0,0,0,0,0,1,0,36209,530,116,56,False,16,True,2,0,0,0,1,1,0,0,6,1,0,2,0,37967,529,124,56,True
101051,BR1_3010023214,1733537,1200000,21,True,1,0,0,0,0,0,1,0,0,0,0,2,0,38326,431,103,57,True,17,False,2,0,1,1,0,0,0,0,6,1,0,2,0,38156,468,144,55,False
101052,BR1_3010015477,2004968,1200000,19,False,0,0,0,0,0,0,0,0,2,1,0,4,0,39666,461,118,56,True,14,True,2,1,0,1,0,0,0,0,4,0,0,1,0,33645,452,79,53,False
101053,BR1_3010013692,1630707,1200000,18,True,1,0,0,0,1,0,0,0,0,1,0,0,0,35130,410,90,52,False,18,False,2,1,0,0,0,0,1,0,6,0,0,3,0,38004,463,125,54,True
101054,BR1_3010007250,1894719,1200000,16,False,2,0,0,0,1,1,0,0,6,1,0,3,0,38717,558,148,57,True,4,True,1,0,0,1,0,0,0,0,0,0,0,1,0,30502,487,121,52,False
101055,BR1_3009998838,1799765,1200000,16,True,2,0,1,0,0,0,1,0,3,1,0,2,0,37236,523,123,59,True,12,False,0,0,0,0,0,0,0,0,3,0,0,1,0,35510,505,140,58,False
101056,BR1_3009985996,1664834,1200000,23,True,1,0,1,0,0,0,0,0,3,0,0,1,0,40277,448,150,59,True,20,False,0,0,0,0,0,0,0,0,3,1,0,3,0,39856,509,121,56,False
101057,BR1_3009924446,2048773,1200000,19,False,0,0,0,0,0,0,0,0,6,1,0,3,0,40607,477,114,56,False,25,True,3,1,1,1,0,0,0,0,0,0,0,3,0,41554,533,132,60,True
101058,BR1_3009828382,2223412,1200000,15,False,0,0,0,0,0,0,0,0,3,0,0,2,0,35804,498,101,56,True,19,True,2,1,0,0,0,1,0,0,3,1,0,3,0,38155,462,121,56,False
101059,BR1_3009800880,2108105,1200000,20,True,1,0,1,0,0,0,0,0,6,1,0,5,0,39214,480,117,55,False,12,False,2,0,0,0,0,1,1,0,0,0,0,1,0,35524,497,126,55,True
101060,BR1_3009530927,2471849,1200000,24,False,0,0,0,0,0,0,0,0,2,1,0,3,0,41042,402,122,55,True,26,True,2,1,0,0,0,0,1,0,4,0,0,2,0,40479,384,128,55,False
101061,BR1_3009530531,1696918,1200000,13,False,1,0,0,0,1,0,0,0,5,0,0,2,0,35595,439,135,55,True,16,True,2,0,1,1,0,0,0,0,1,1,0,3,0,37058,471,115,55,False
101062,BR1_3009530019,1830279,1200000,25,True,1,1,0,0,0,0,0,0,6,0,0,5,0,43004,431,136,57,True,21,False,1,0,0,0,0,0,1,0,0,1,0,0,0,35746,357,89,53,False
101063,BR1_3009515695,1919726,1200000,20,False,0,0,0,0,0,0,0,0,5,1,0,4,0,41037,508,167,60,True,16,True,1,0,0,1,0,0,0,0,1,0,0,1,0,37493,496,121,58,False
101064,BR1_3009498043,1671427,1200000,12,False,1,0,0,0,1,0,0,0,1,0,0,2,0,35548,460,117,55,False,18,True,1,0,0,0,0,1,0,0,5,1,0,6,0,42039,542,118,58,True
101065,BR1_3009478466,1884321,1200000,18,False,1,0,0,0,1,0,0,0,0,1,0,1,0,36551,445,123,57,True,22,True,1,0,0,0,0,0,1,0,4,0,0,4,0,41478,501,110,57,False
101066,BR1_3009362095,1814986,1200000,20,False,2,1,0,0,1,0,0,0,3,1,0,3,0,39554,513,128,58,True,14,True,1,0,0,0,0,1,0,0,3,0,0,3,0,38435,518,123,56,False
101067,BR1_3009337348,1905722,1200000,25,False,1,0,0,0,1,0,0,0,6,0,0,3,0,39386,425,118,58,False,14,True,1,0,1,0,0,0,0,0,0,1,0,3,0,35900,518,113,55,True
101068,BR1_3009319255,1794119,1200000,35,True,0,0,0,0,0,0,0,0,1,0,0,2,0,42887,401,74,54,False,30,False,1,1,0,0,0,0,0,0,2,0,0,1,0,40036,380,90,53,True
101069,BR1_3009240962,1851408,1200000,12,True,1,0,1,0,0,0,0,0,3,1,0,3,0,36461,499,125,55,True,19,False,1,0,0,1,0,0,0,0,3,0,0,1,0,37948,501,142,57,False
101070,BR1_3009227550,1896368,1200000,16,True,2,1,0,0,0,1,0,0,6,1,0,3,0,40066,567,168,58,True,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,31436,484,93,52,False
101071,BR1_3009106941,1897610,1200000,18,True,0,0,0,0,0,0,0,0,5,0,0,2,0,38835,483,98,56,False,21,False,2,0,0,1,1,0,0,0,1,1,0,2,0,38873,524,100,59,True
101072,BR1_3009098926,2105686,1200000,25,False,1,0,0,0,0,1,0,0,4,1,0,4,0,43795,506,145,59,True,20,True,2,1,1,0,0,0,0,0,2,0,0,0,0,37530,474,96,56,False
101073,BR1_3009088392,1794919,1200000,19,False,0,0,0,0,0,0,0,0,3,1,0,3,0,39220,475,131,57,False,16,True,2,0,0,1,0,1,0,0,3,0,0,2,0,39181,534,124,57,True
101074,BR1_3009069908,2334521,1200000,12,True,1,0,0,0,1,0,0,0,5,1,0,4,0,36704,534,127,57,True,14,False,2,1,0,1,0,0,0,0,1,0,0,3,0,37373,542,100,59,False
101075,BR1_3009055309,2350596,1200000,30,True,2,1,0,0,0,0,1,0,3,1,0,3,0,42404,465,98,56,True,21,False,0,0,0,0,0,0,0,0,0,0,0,2,0,38212,456,86,54,False
101076,BR1_3009030401,1980216,1200000,27,True,0,0,0,0,0,0,0,0,3,1,0,3,0,43197,466,117,57,False,27,False,2,1,1,0,0,0,0,0,0,0,0,2,0,42664,483,115,57,True
101077,BR1_3009009440,1621031,1200000,17,True,1,0,0,0,0,1,0,0,6,1,0,5,0,40509,543,114,58,True,14,False,1,1,0,0,0,0,0,0,0,0,0,1,0,35210,481,112,56,False
101078,BR1_3008983049,2384072,1200000,15,True,1,1,0,0,0,0,0,0,6,1,0,5,0,39974,510,167,57,False,10,False,1,0,0,0,1,0,0,0,0,0,0,1,0,34249,492,109,56,True
101079,BR1_3008906537,2467740,1200000,13,False,0,0,0,0,0,0,0,0,1,1,0,2,0,35968,464,110,56,False,20,True,2,0,0,0,0,1,1,0,5,0,0,4,0,40537,518,142,57,True
101080,BR1_3008873011,2158150,1200000,28,True,0,0,0,0,0,0,0,0,3,1,0,4,0,43485,485,98,58,True,22,False,2,0,1,0,0,1,0,0,3,0,0,3,0,41053,501,111,57,False
101081,BR1_3008715213,2017540,1200000,24,True,1,1,0,0,0,0,0,0,0,0,0,1,0,38765,453,113,58,True,12,False,1,0,1,0,0,0,0,0,6,0,0,3,0,36882,468,138,56,False
101082,BR1_3008707915,1845240,1200000,21,False,1,0,1,0,0,0,0,0,6,0,0,3,0,39678,429,116,55,True,22,True,1,0,0,0,0,0,1,0,0,1,0,3,0,40164,453,111,53,False
101083,BR1_3008709035,2469219,1200000,22,True,1,0,0,1,0,0,0,0,6,1,0,5,0,40911,469,123,57,True,14,False,1,0,0,0,0,0,1,0,0,0,0,3,0,38800,502,91,55,False
101084,BR1_3008697514,2058205,1200000,11,True,1,0,0,0,0,1,0,0,2,0,0,4,0,37890,492,123,56,True,22,False,1,0,0,1,0,0,0,0,4,1,0,3,0,39874,525,115,57,False
101085,BR1_3008618934,2136875,1200000,20,True,1,0,0,1,0,0,0,0,5,1,0,6,0,42626,519,145,59,False,13,False,2,0,0,0,1,1,0,0,1,0,0,4,0,38281,515,117,55,True
101086,BR1_3008573349,2045452,1200000,14,True,1,0,0,0,1,0,0,0,3,1,0,3,0,39325,550,135,55,True,21,False,0,0,0,0,0,0,0,0,1,0,0,3,0,39507,453,119,58,False
101087,BR1_3008544350,2193904,1200000,17,True,1,1,0,0,0,0,0,0,5,0,0,1,0,36375,443,111,57,False,19,False,1,0,0,0,0,1,0,0,1,1,0,3,0,40384,506,116,58,True
101088,BR1_3006204664,2055023,1200000,16,True,1,1,0,0,0,0,0,0,3,0,0,2,0,38494,485,118,56,False,23,False,1,0,1,0,0,0,0,0,2,1,0,9,1,44853,507,111,58,True
101089,BR1_3006204381,1899764,1200000,13,False,2,0,1,0,0,1,0,0,2,0,0,1,0,35495,509,127,57,True,13,True,0,0,0,0,0,0,0,0,4,1,0,2,0,36755,541,116,56,False
101090,BR1_3006168756,1948090,1200000,19,False,1,0,0,1,0,0,0,0,6,1,0,4,0,39879,529,120,57,True,10,True,1,0,1,0,0,0,0,0,0,0,0,2,0,35804,486,147,55,False
101091,BR1_3006158155,1681026,1200000,10,False,1,0,0,0,0,0,1,0,3,0,0,1,0,32750,438,115,52,False,17,True,2,1,0,0,1,0,0,0,3,1,0,6,0,40833,522,163,59,True
101092,BR1_3006107962,1868249,1200000,13,False,1,0,0,0,1,0,0,0,6,1,0,5,0,39307,537,139,56,False,16,True,1,1,0,0,0,0,0,0,0,0,0,1,0,37100,502,98,56,True
101093,BR1_3006060985,1847400,1200000,16,False,1,0,0,1,0,0,0,0,3,0,0,3,0,38997,457,96,57,False,21,True,2,1,0,0,0,1,0,0,3,0,0,4,0,38489,456,146,57,True
101094,BR1_3005983690,1862262,1200000,12,True,0,0,0,0,0,0,0,0,3,1,0,3,0,36065,507,98,55,False,16,False,3,0,0,0,1,1,1,0,3,0,0,2,0,39305,518,150,57,True
101095,BR1_3010496816,1746856,1200000,20,True,0,0,0,0,0,0,0,0,3,1,0,4,0,40270,527,119,58,False,14,False,2,0,0,1,0,1,0,0,3,0,0,2,0,36572,514,119,57,True
101096,BR1_3010488666,1722500,1200000,19,False,1,0,0,1,0,0,0,0,0,0,0,2,0,37160,451,100,58,False,17,True,2,0,0,0,0,1,1,0,6,0,0,3,0,39520,554,132,58,True
101097,BR1_3010482638,1676710,1200000,20,True,2,0,0,0,1,1,0,0,0,1,0,2,0,37891,471,108,56,True,12,False,0,0,0,0,0,0,0,0,3,0,0,0,0,34522,470,134,54,False
101098,BR1_3010438585,1713179,1200000,20,True,2,0,0,1,0,0,1,0,3,1,0,3,0,40190,517,132,57,True,20,False,0,0,0,0,0,0,0,0,3,0,0,3,0,40125,507,126,56,False
101099,BR1_3010396908,2170176,1200000,24,False,0,0,0,0,0,0,0,0,3,1,0,4,0,39810,440,126,56,True,18,True,2,0,0,1,0,1,0,0,3,0,0,3,0,39197,482,122,57,False
101100,BR1_3010367665,1903942,1200000,11,True,2,0,0,0,1,0,1,0,3,0,0,0,0,34208,445,118,55,False,21,False,1,0,1,0,0,0,0,0,3,1,0,5,1,42952,540,133,60,True
101101,BR1_3010007048,1859678,1200000,17,False,0,0,0,0,0,0,0,0,6,1,0,3,0,40546,478,134,57,False,25,True,2,0,0,1,0,1,0,0,0,0,0,5,0,41966,516,133,60,True
101102,BR1_3009995692,1805632,1200000,20,True,2,0,0,0,1,0,1,0,3,0,0,0,0,36761,439,117,54,False,21,False,1,0,0,1,0,0,0,0,3,1,0,3,0,40084,487,129,56,True
101103,BR1_3009968944,1987968,1200000,27,True,2,1,0,1,0,0,0,0,6,1,0,2,0,40426,428,126,57,True,22,False,0,0,0,0,0,0,0,0,0,0,0,3,0,39507,488,101,56,False
101104,BR1_3009911952,1825504,1200000,20,False,0,0,0,0,0,0,0,0,0,1,0,3,0,39249,479,109,56,True,17,True,2,0,0,1,0,0,1,0,6,0,0,1,0,37913,490,127,56,False
101105,BR1_3009898193,1831663,1200000,19,False,1,0,1,0,0,0,0,0,6,1,0,3,0,39153,406,136,55,True,26,True,0,0,0,0,0,0,0,0,0,0,0,1,0,38449,360,115,53,False
101106,BR1_3009876597,1692338,1200000,16,True,0,0,0,0,0,0,0,0,3,0,0,3,0,37130,446,111,54,False,14,False,3,1,0,1,1,0,0,0,0,1,0,1,0,34844,393,127,56,True
101107,BR1_3009841198,1649017,1200000,10,False,0,0,0,0,0,0,0,0,6,0,0,3,0,36341,518,150,55,False,17,True,3,0,0,1,0,1,1,0,0,1,0,2,0,38840,507,140,58,True
101108,BR1_3009072360,2038663,1200000,13,True,0,0,0,0,0,0,0,0,3,0,0,2,0,35822,475,129,55,True,20,False,3,0,0,1,0,1,1,0,3,1,0,3,0,39156,481,138,57,False
101109,BR1_3009035751,1835223,1200000,12,False,2,1,0,0,0,0,1,0,3,0,0,0,0,34134,502,136,55,True,10,True,0,0,0,0,0,0,0,0,3,1,0,2,0,35604,526,103,55,False
101110,BR1_3009010732,2032249,1200000,17,False,2,1,0,0,1,0,0,0,3,0,0,3,0,38353,521,132,58,False,16,True,0,0,0,0,0,0,0,0,3,1,0,2,0,37429,515,130,58,True
101111,BR1_3008692470,1717187,1200000,19,True,2,1,0,1,0,0,0,0,2,0,0,2,0,36693,440,107,57,True,17,False,0,0,0,0,0,0,0,0,1,1,0,3,0,37649,483,118,56,False
101112,BR1_3008684200,1720138,1200000,21,False,1,0,0,0,1,0,0,0,2,1,0,4,0,40236,522,120,57,True,14,True,0,0,0,0,0,0,0,0,0,0,0,1,0,34389,516,112,54,False
101113,BR1_3008668351,2068887,1200000,17,False,1,0,0,1,0,0,0,0,1,0,0,1,0,36928,497,96,56,False,27,True,0,0,0,0,0,0,0,0,5,0,0,4,0,43196,511,106,59,True
101114,BR1_3008639782,2105751,1200000,15,True,0,0,0,0,0,0,0,0,4,1,0,3,0,36702,461,88,56,True,20,False,2,0,1,0,0,1,0,0,0,0,0,3,0,40881,473,135,57,False
101115,BR1_3008622015,2041983,1200000,14,False,0,0,0,0,0,0,0,0,6,1,0,3,0,37340,488,140,56,False,14,True,2,1,0,0,0,0,1,0,0,0,0,3,0,36614,510,119,56,True
101116,BR1_3008538169,1954295,1200000,14,False,1,0,0,0,0,1,0,0,6,0,0,2,0,36826,530,126,56,True,16,True,1,0,1,0,0,0,0,0,0,1,0,3,0,38362,487,113,55,False
101117,BR1_3008465388,2611804,1200000,18,False,1,0,0,0,0,0,1,0,4,1,0,3,0,37494,485,123,55,True,17,True,1,0,1,0,0,0,0,0,0,0,0,2,0,37986,517,136,58,False
101118,BR1_3007543811,2089087,1200000,11,False,0,0,0,0,0,0,0,0,6,0,0,2,0,35650,534,119,55,False,14,True,2,1,0,0,0,0,1,0,0,1,0,3,0,38241,528,132,57,True
101119,BR1_3007536087,1806234,1200000,22,False,1,0,0,0,0,0,1,0,2,1,0,3,0,40351,468,126,55,True,24,True,1,0,0,0,1,0,0,0,1,0,0,3,0,40869,471,123,56,False
101120,BR1_3007366668,1626037,1200000,13,False,0,0,0,0,0,0,0,0,6,1,0,3,0,38356,517,148,57,False,14,True,3,0,0,1,1,0,1,0,0,0,0,2,0,35777,512,115,56,True
101121,BR1_3007323847,1960620,1200000,21,False,1,0,0,0,0,1,0,0,3,1,0,3,0,40242,455,106,54,False,26,True,1,0,0,0,1,0,0,0,3,0,0,4,0,42356,426,123,57,True
101122,BR1_3007104973,1979843,1200000,11,False,1,0,0,0,1,0,0,0,6,1,0,0,0,32543,418,126,54,False,22,True,1,0,1,0,0,0,0,0,0,0,0,4,0,38448,468,113,57,True
101123,BR1_3007076055,2021238,1200000,22,True,1,0,0,0,0,0,1,0,3,0,0,4,0,39185,440,108,55,False,18,False,1,0,1,0,0,0,0,0,3,1,0,3,0,38913,487,106,55,True
101124,BR1_3007037659,2320414,1200000,14,True,1,0,0,1,0,0,0,0,0,1,0,1,0,36132,513,100,57,False,16,False,1,0,1,0,0,0,0,0,3,0,0,3,0,39663,535,133,57,True
101125,BR1_3007015044,1946250,1200000,18,True,1,0,0,1,0,0,0,0,4,1,0,5,0,39404,462,116,57,True,18,False,2,1,0,0,0,1,0,0,2,0,0,2,0,36736,471,108,56,False
101126,BR1_3006968687,1804096,1200000,19,False,1,0,0,0,0,1,0,0,0,0,0,3,0,38641,467,120,59,True,14,True,1,0,0,0,1,0,0,0,6,0,0,2,0,35729,465,120,54,False
101127,BR1_3006945673,1780380,1200000,11,False,0,0,0,0,0,0,0,0,3,1,0,2,0,33756,453,130,54,True,11,True,2,0,1,0,0,0,1,0,3,0,0,2,0,35617,515,114,55,False
101128,BR1_3006885329,1765438,1200000,10,False,0,0,0,0,0,0,0,0,2,0,0,1,0,34564,500,132,57,False,12,True,3,0,0,1,0,1,1,0,4,1,0,4,0,38983,516,151,56,True
101129,BR1_3006839446,1939517,1200000,13,True,0,0,0,0,0,0,0,0,1,1,0,3,0,36612,485,122,56,True,14,False,2,1,0,0,0,0,1,0,5,0,0,5,0,39996,566,159,59,False
101130,BR1_3006507414,1887663,1200000,16,True,0,0,0,0,0,0,0,0,5,0,0,1,0,35030,440,102,56,False,15,False,2,0,1,0,0,1,0,0,1,1,0,4,0,40344,584,164,60,True
101131,BR1_3006481456,1740296,1200000,24,True,2,1,0,0,0,1,0,0,3,0,0,4,0,41697,460,118,56,True,23,False,0,0,0,0,0,0,0,0,2,1,0,4,0,41915,493,98,56,False
101132,BR1_3006412963,2071120,1200000,25,True,1,0,0,1,0,0,0,0,5,0,0,4,0,42087,464,119,57,False,24,False,1,0,0,0,1,0,0,0,1,1,0,0,0,39394,455,60,56,True
